"feature_x","feature_y","pattern"
"-1.797","0.459","different_sign"
"0.42","1.207","same_sign"
"1.783","1.99","same_sign"
"2.81","1.66","same_sign"
"-1.598","2.147","different_sign"
"2.081","-1.598","different_sign"
"-1.334","0.523","same_sign"
"-2.38","2.64","different_sign"
"-1.061","1.29","different_sign"
"1.381","-1.624","different_sign"
"-1.188","2.925","different_sign"
"-0.638","1.389","different_sign"
"-1.274","-0.163","same_sign"
"1.119","-2.174","different_sign"
"-1.368","-1.137","same_sign"
"2.002","-2.295","different_sign"
"-1.972","2.374","different_sign"
"1.262","-0.915","different_sign"
"1.538","-2.417","different_sign"
"0.062","-1.519","same_sign"
"1.773","-2.598","different_sign"
"-0.007","0.998","same_sign"
"0.74","2.04","same_sign"
"-1.895","0.354","different_sign"
"-0.692","0.548","different_sign"
"-2.449","1.989","different_sign"
"0.131","-0.064","same_sign"
"2.561","0.353","same_sign"
"-1.26","0.55","different_sign"
"1.812","0.825","same_sign"
"-1.817","1.665","different_sign"
"1.746","2.346","same_sign"
"-1.999","1.638","different_sign"
"-0.945","-1.738","same_sign"
"2.186","2.923","same_sign"
"2.183","-1.046","different_sign"
"-2.478","0.986","different_sign"
"-2.959","2.931","different_sign"
"-0.668","2.211","different_sign"
"-1.387","-1.747","same_sign"
"-2.104","1.928","different_sign"
"-0.049","2.922","same_sign"
"0.209","0.563","same_sign"
"-0.726","2.551","different_sign"
"2.912","-1.924","different_sign"
"-1.08","-2.625","same_sign"
"2.981","-0.443","different_sign"
"2.303","1.29","same_sign"
"-0.788","-1.858","same_sign"
"-0.189","-0.587","different_sign"
"0.375","2.387","same_sign"
"0.417","-1.841","different_sign"
"-2.55","-0.765","same_sign"
"0.33","-1.025","same_sign"
"-2.665","1.248","different_sign"
"-1.756","-2.87","same_sign"
"-0.129","-2.587","same_sign"
"2.618","-1.368","different_sign"
"1.853","-1.408","different_sign"
"-1.623","-2.26","same_sign"
"2.956","-2.603","different_sign"
"1.067","1.899","same_sign"
"-0.035","-0.505","same_sign"
"2.34","-1.53","different_sign"
"0.429","-0.349","different_sign"
"0.204","1.968","different_sign"
"-1.597","-2.033","same_sign"
"2.879","2.94","same_sign"
"-1.701","0.757","different_sign"
"1.69","1.564","same_sign"
"-1.303","2.073","different_sign"
"-1.778","0.374","different_sign"
"0.242","-0.732","same_sign"
"1.272","1.28","same_sign"
"1.938","0.532","same_sign"
"-2.304","-0.81","same_sign"
"1.113","-1.351","different_sign"
"-2.405","2.974","different_sign"
"0.768","-2.922","different_sign"
"2.149","-0.232","different_sign"
"-0.591","1.275","different_sign"
"-2.65","0.643","different_sign"
"-0.355","-0.793","same_sign"
"2.006","2.961","same_sign"
"-2.307","0.132","different_sign"
"0.378","-2.059","different_sign"
"0.058","-2.397","different_sign"
"1.774","-2.423","different_sign"
"-0.058","-1.898","same_sign"
"-1.277","0.454","different_sign"
"-1.88","1.094","different_sign"
"1.207","-1.137","different_sign"
"2.704","1.588","same_sign"
"-0.454","1.051","same_sign"
"2.705","2.107","same_sign"
"2.925","2.902","same_sign"
"0.085","-2.61","same_sign"
"1.049","-0.909","different_sign"
"2.575","0.635","same_sign"
"-1.984","0.408","different_sign"
"0.297","-2.078","same_sign"
"-1.02","0.886","different_sign"
"0.199","-0.514","different_sign"
"-0.317","0.674","different_sign"
"-0.481","-2.489","same_sign"
"-1.415","2.069","different_sign"
"-1.772","0.018","different_sign"
"-0.742","1.638","different_sign"
"1.16","0.071","different_sign"
"0.335","1.633","same_sign"
"-0.693","1.688","different_sign"
"0.348","2.25","same_sign"
"-1.77","0.725","different_sign"
"2.82","-0.274","different_sign"
"-1.427","-2.598","same_sign"
"-0.216","-1.47","different_sign"
