"hours_studied","practice_projects","result"
"7.7","3.62","pass"
"9.19","2.58","pass"
"2","2.84","fail"
"7.14","5.69","pass"
"3.65","4.33","fail"
"5.88","2.86","pass"
"2.38","3.78","fail"
"5.28","3.15","pass"
"6.95","1.65","pass"
"5.36","0.27","fail"
"2.55","1.35","fail"
"7.55","2.19","pass"
"1.32","2.65","fail"
"8.75","0.25","pass"
"6.14","4.03","pass"
"8.75","0.26","pass"
"9.13","5.21","pass"
"2.12","5.94","fail"
"2.11","1.62","fail"
"2.36","1.49","fail"
"6.84","3.76","pass"
"1.72","3.05","fail"
"8.96","3.4","pass"
"5.39","3.04","fail"
"9.52","1.75","pass"
"1.98","5.42","fail"
"5.14","4.8","pass"
"6.5","3.49","pass"
"1.43","0.29","fail"
"9.25","3.62","pass"
"8.31","5.31","pass"
"8.95","1.27","pass"
"7.53","2.94","pass"
"2.29","5.86","pass"
"2.86","2.49","fail"
"1.37","1.07","fail"
"7.39","0.09","fail"
"3.03","4.14","fail"
"9.31","0.23","pass"
"3.27","0.2","fail"
"5.4","5.81","pass"
"3.35","4.05","fail"
"8.59","0.38","pass"
"2.54","2.3","fail"
"7.22","1.91","pass"
"7.8","2.42","pass"
"8.34","0.04","pass"
"5.83","1.24","fail"
"7.57","3.52","pass"
"7.69","5.76","pass"
"4.33","2.84","fail"
"7.31","3.93","pass"
"5.62","5.68","pass"
"7.65","1.19","pass"
"6.57","3.23","pass"
"9.57","3.21","pass"
"6.62","1.01","fail"
"8.92","2.62","pass"
"6.32","5.71","pass"
"4.38","3.18","fail"
"4.86","0.6","fail"
"9.14","4.81","pass"
"9.6","5.94","pass"
"8.34","1.45","pass"
"4.83","0.46","fail"
"7.81","5.51","pass"
"9.61","4.67","pass"
"8.39","0.71","pass"
"5.87","2.94","pass"
"4.88","0.66","fail"
"3.23","0.83","fail"
"6.88","1.86","pass"
