"feature_x","feature_y","ring"
"-1.123","-2.67","outer_ring"
"1.176","-2.845","outer_ring"
"-2.549","-1.56","outer_ring"
"-2.783","-1.346","outer_ring"
"2.599","1.813","outer_ring"
"-0.546","-3.173","outer_ring"
"-2.287","-2.131","outer_ring"
"-1.248","-3.101","outer_ring"
"-3.374","-0.586","outer_ring"
"1.042","-2.848","outer_ring"
"-0.305","3.334","outer_ring"
"3.208","-0.502","outer_ring"
"-2.103","-2.541","outer_ring"
"2.589","-1.75","outer_ring"
"-3.19","0.428","outer_ring"
"-3.24","1.309","outer_ring"
"-2.946","-1.354","outer_ring"
"-1.159","-2.78","outer_ring"
"1.738","2.574","outer_ring"
"2.585","-1.411","outer_ring"
"2.937","-0.58","outer_ring"
"-2.671","-1.329","outer_ring"
"2.662","1.498","outer_ring"
"2.988","1.323","outer_ring"
"-3.037","-1.206","outer_ring"
"3.154","0.835","outer_ring"
"3.03","-0.57","outer_ring"
"2.284","2.517","outer_ring"
"2.666","1.468","outer_ring"
"-2.399","-1.926","outer_ring"
"-0.14","3.074","outer_ring"
"2.794","-1.451","outer_ring"
"3.191","0.882","outer_ring"
"0.462","2.89","outer_ring"
"3.373","0.012","outer_ring"
"-2.594","-2.194","outer_ring"
"3.384","0.078","outer_ring"
"0.266","3.368","outer_ring"
"-2.949","1.175","outer_ring"
"0.729","3.235","outer_ring"
"-3.409","-0.386","outer_ring"
"-2.201","-2.143","outer_ring"
"-0.689","3.034","outer_ring"
"1.993","2.244","outer_ring"
"2.658","1.764","outer_ring"
"3.321","0.506","outer_ring"
"2.207","2.065","outer_ring"
"2.669","-1.323","outer_ring"
"-3.118","0.12","outer_ring"
"1.57","3.051","outer_ring"
"0.55","-2.941","outer_ring"
"-2.794","-1.128","outer_ring"
"-1.97","2.596","outer_ring"
"-0.536","3.158","outer_ring"
"0.962","-2.984","outer_ring"
"-1.406","2.695","outer_ring"
"-0.305","2.984","outer_ring"
"-0.201","3.065","outer_ring"
"2.866","-1.271","outer_ring"
"-1.934","2.293","outer_ring"
"0.868","-3.016","outer_ring"
"-3.128","-0.03","outer_ring"
"0.633","-2.94","outer_ring"
"-2.317","-2.447","outer_ring"
"2.768","1.618","outer_ring"
"2.474","-2.025","outer_ring"
"0.161","3.207","outer_ring"
"-0.602","3.33","outer_ring"
"1.786","-2.396","outer_ring"
"-1.698","-2.936","outer_ring"
"3.073","-0.316","outer_ring"
"-3.222","0.162","outer_ring"
"2.526","-2.075","outer_ring"
"-3.015","-0.192","outer_ring"
"1.704","2.624","outer_ring"
"-1.893","2.461","outer_ring"
"2.92","-1.115","outer_ring"
"3.184","0.866","outer_ring"
"1.667","-2.788","outer_ring"
"-2.862","-0.814","outer_ring"
"1.511","-3.001","outer_ring"
"2.4","1.944","outer_ring"
"3.12","-0.99","outer_ring"
"-1.376","-2.869","outer_ring"
"-2.894","1.907","outer_ring"
"-1.016","-2.891","outer_ring"
"0.594","-3.039","outer_ring"
"-3.122","0.052","outer_ring"
"3.12","-0.338","outer_ring"
"-1.6","2.533","outer_ring"
"1.616","2.53","outer_ring"
"0.372","-3.338","outer_ring"
"3.267","-0.658","outer_ring"
"2.841","-1.355","outer_ring"
"0.644","-3.178","outer_ring"
"0.005","3.068","outer_ring"
"0.033","-3.369","outer_ring"
"-1.076","2.789","outer_ring"
"2.016","2.47","outer_ring"
"-2.753","-1.688","outer_ring"
"1.08","-3.157","outer_ring"
"2.705","1.337","outer_ring"
"-3.18","-0.016","outer_ring"
"-0.787","2.999","outer_ring"
"0.682","-2.958","outer_ring"
"-2.503","-1.762","outer_ring"
